Unnamed: 0,Star_name,Distance,Mass,Radius,radius,Gravity
0,Sun,1.58E-05,1,1,1,274.2691615
1,Sirius,8.6,2.1,1.71´,1.71,196.9717996
2,Canopus,310,15,71,71,0.816115339
3,Alpha Centauri,4.4,1.1,1.2,1.2,209.511165
4,Arcturus,37,1.1,26,26,0.446295973
5,Vega,25,2.2,2.7,2.7,82.76984296
6,Capella,43,2.6,12,12,4.952082082
7,Rigel,860,23,78.9,78.9,1.013329785
8,Procyon,11.4,1.5,1.9,1.9,113.9622555
9,Betelgeuse,144,20,950,950,0.006077987
10,Achernar,390,6.7,9.3,9.3,21.24642597
11,Hadar,17,10.5,8.6,8.6,38.93761757
12,Altair,320,1.8,1.8,1.8,152.3717564
13,Acrux,65,18,8.9,8.9,62.32603088
14,Aldebaran,600,1.5,44,44,0.212501933
15,Antares,260,12,680,680,0.007117712
16,Spica,34,11.43,7.47,7.47,56.18003501
17,Pollux,25,1.9,8.8,8.8,6.729227877
18,Fomalhaut,2600,1.9,1.8,1.8,160.8368539
19,Deneb,350,19,203,203,0.126455727
20,Mimosa,77,16,8.4,8.4,62.19255362
21,Regulus,430,3.8,3.1,3.1,108.4519057
22,Adhara,700,12.5,14,14,17.49165571
23,Shaula,52,14.5,8.8,8.8,51.3546338
24,Castor,88,2.8,2.4,2.4,133.3252868
25,Gacrux,240,1.5,84,84,0.058305519
26,Bellatrix,130,8.6,5.8,5.8,70.11637302
27,Elnath,110,5,4.2,4.2,77.74069202
28,Miaplacidus,2000,3.5,6.8,6.8,20.75999276
29,Alnilam,1100,32,42,42,4.97540429
30,Gamma Velorum,101,9,6,6,68.56729036
31,Alnair,81,4,3.4,3.4,94.90282403
32,Alioth,1050,2.9,4.2,4.2,45.08960137
33,Alnitak,120,33,20,20,22.62720582
34,Dubhe,590,4.25,30,30,1.295159929
35,Mirfak,1600,8.5,68,68,0.504171253
36,Wezen,270,17,200,200,0.116564394
37,Sargas,140,5.7,26,26,2.312624586
38,Kaus Australis,630,3.5,6.8,6.8,20.75999276
39,Avior,104,9,130,130,0.1460605
40,Alkaid,81,6.1,3.4,3.4,144.7268067
41,Menkalinan,390,2.39,2.77,2.77,85.4309708
42,Atria,109,7,92,92,0.22682941
43,Alhena,180,2.8,3.3,3.3,70.51915997
44,Peacock,80,5.9,4.8,4.8,70.23385645
45,Alsephina[2],500,2.4,2.9,2.9,78.26943966
46,Mirzam,430,13.5,10,10,37.0263368
47,Polaris,180,5.4,39,39,0.973736668
48,Alphard,1200,3,50,50,0.329122994
49,Mintaka,196,24,16.5,16.5,24.1779977
50,Scheat,653,2.1,95,95,0.063818863
51,Almaaz,360,15,140,140,0.209899868
52,Rasalgethi,11.9,2.8,280,280,0.009795327
